CORSAIR HX1200i 80PLUS PLATINUM,12000,398000,ATX 파워/정격 1200W/20핀+4핀/140mm 팬/1개(팬)/액티브PFC/+12V 싱글레일/100A/4핀 IDE x12/SATA x16/6+2핀 PCI-E x8/보조8핀(4+4) 커넥터/FDD 커넥터/케이블 연결식/플랫케이블/프리볼트/80 PLUS/플레티넘/깊이:200mm
마이크로닉스 Performance II HV 850W Bronze,850,137900,ATX 파워/정격 850W/20핀+4핀/135mm 팬/1개(팬)/액티브PFC/+12V 싱글레일/70.5A/4핀 IDE x5/SATA x10/6+2핀 PCI-E x6/보조8핀(4+4) 커넥터/보조8핀 커넥터/FDD 커넥터/Reform 케이블/케이블 연결식/대기전력 1W/프리볼트/80 PLUS/브론즈/깊이:160mm/무상 3년
마이크로닉스 Performance II HV 1000W Bronze,1000,183400,ATX 파워/정격 1000W/20핀+4핀/135mm 팬/1개(팬)/액티브PFC/+12V 싱글레일/83A/4핀 IDE x5/SATA x12/6+2핀 PCI-E x6/보조8핀(4+4) 커넥터/보조8핀 커넥터/FDD 커넥터/Reform 케이블/케이블 연결식/대기전력 1W/프리볼트/80 PLUS/브론즈/깊이:160mm/무상 3년
Antec HCP-1000 Platinum,1000,375000,"ATX 파워/정격 1000W/20핀+4핀/135mm 팬/1개(팬)/+12V 다중레일/40A, 40A, 40A, 40A/4핀 IDE x6/SATA x9/6+2핀 PCI-E x6/보조8핀(4+4) 커넥터/보조8핀 커넥터/FDD 커넥터/Reform 케이블/케이블 연결식/프리볼트/80 PLUS/플레티넘/깊이:190mm/무상 7년/ AMD 인증"
SuperFlower SF-850F14MP LEADEX PLATINUM,850,186800,ATX 파워/정격 850W/20핀+4핀/140mm/1개(팬)/액티브PFC/+12V 싱글레일/70.8A/4핀 IDE x5/SATA x10/6+2핀 PCI-E x4/보조8핀(4+4) 커넥터/보조8핀 커넥터/FDD 커넥터/Reform 케이블/케이블 연결식/대기전력 1W/플랫케이블/프리볼트/80 PLUS/플레티넘/깊이:200mm/무상 7년
SuperFlower SF-1000F14MG LEADEX GOLD,1000,216000,ATX 파워/정격 1000W/20핀+4핀/140mm/1개(팬)/액티브PFC/+12V 싱글레일/83.3A/4핀 IDE x5/SATA x10/6+2핀 PCI-E x6/보조8핀(4+4) 커넥터/보조8핀 커넥터/FDD 커넥터/Reform 케이블/케이블 연결식/대기전력 1W/프리볼트/80 PLUS/골드/깊이:200mm/무상 7년
FSP Hydro G WHITE 750W,750,132600,ATX 파워/정격 750W/20핀+4핀/135mm 팬/1개(팬)/액티브PFC/+12V 싱글레일/62.5A/4핀 IDE x6/SATA x12/6+2핀 PCI-E x4/보조8핀(4+4) 커넥터/FDD 커넥터/케이블 연결식/플랫케이블/프리볼트/80 PLUS/골드/깊이:170mm/무상 5년
CORSAIR HX1000i 80PLUS PLATINUM (정품),1000,347000,ATX 파워/정격 1000W/20핀+4핀/140mm/1개(팬)/액티브PFC/+12V 싱글레일/83.3A/4핀 IDE x12/SATA x12/6+2핀 PCI-E x8/보조8핀(4+4) 커넥터/FDD 커넥터/케이블 연결식/프리볼트/80 PLUS/플레티넘/깊이:180mm/무상 7년
SuperFlower SF-600R12N,600,44000,ATX 파워/600W/20핀+4핀/120mm 팬/1개(팬)/+12V 싱글레일/42A/4핀 IDE x2/SATA x4/6+2핀 PCI-E x2/보조8핀(4+4) 커넥터/대기전력 1W/깊이:140mm/무상 3년
FSP Hydro PTM 750W 80PLUS PLATINUM,750,152800,ATX 파워/정격 750W/135mm 팬/1개(팬)/액티브PFC/+12V 싱글레일/62.5A/4핀 IDE x5/SATA x14/6+2핀 PCI-E x6/보조8핀(4+4) 커넥터/FDD 커넥터/케이블 연결식/플랫케이블/프리볼트/80 PLUS/플레티넘/깊이:170mm/무상 10년
시소닉 FOCUS PLUS Platinum SSR-650PX Full Modular,650,148000,TX 파워/650W/20핀+4핀/120mm 팬/1개(팬)/액티브PFC/+12V 싱글레일/54A/4핀 IDE x3/SATA x8/6+2핀 PCI-E x4/보조8핀(4+4) 커넥터/FDD 커넥터/수동 팬 조절/케이블 연결식/대기전력 1W/프리볼트/80 PLUS/플레티넘/깊이:140mm/무상 10년
마이크로닉스 Performance II PV RGB Sync 600W 80Plus Bronze,600,92800,ATX 파워/600W/20핀+4핀/120mm 팬/1개(팬)/액티브PFC/+12V 싱글레일/50A/4핀 IDE x4/SATA x6/6+2핀 PCI-E x2/보조8핀 커넥터/보조4핀 커넥터/FDD 커넥터/ LED 커넥터 /프리볼트/ LED 라이트 /80 PLUS/브론즈/깊이:140mm/무상 6년
마이크로닉스 Compact SFX 350W 80Plus Bronze,350,52000,M-ATX(SFX) 파워/정격 350W/20핀+4핀/80mm 팬/1개(팬)/액티브PFC/+12V 싱글레일/27A/4핀 IDE x2/SATA x3/6핀 PCI-E x1/6+2핀 PCI-E x1/보조8핀(4+4) 커넥터/FDD 커넥터/대기전력 1W/프리볼트/80 PLUS/브론즈/무상 3년
