TeamGroup T-Force DDR4 16G PC4-25600 CL16 DARK Red (8Gx2),16,200150,DDR4/PC용/2ea/포함/Dimm/16GB/3,200MHz/1.35V/XMP/메모리 타이밍 : 16-18-18-38
TeamGroup T-Force DDR4 16G PC4-24000 CL16 Delta RGB (8Gx2),16,195000,DDR4/PC용/2ea/포함/Dimm/16GB/3,000MHz/1.35V/XMP/LED 라이트/AURA SYNC/메모리 타이밍 : 16-18-18-36
TeamGroup T-Force DDR4 32G PC4-25600 CL16 DARK Red (16Gx2),32,391470,DDR4/PC용/2ea/포함/Dimm/32GB/3,200MHz/1.35V/XMP/메모리 타이밍 : 16-18-18-3
TeamGroup T-Force DDR4 8G PC4-19200 CL16 VULCAN Red,8,77000,DDR4/PC용/1ea/포함/Dimm/8GB/2,400MHz/1.20V/메모리 타이밍 : 16-16-16-39
TeamGroup T-Force DDR4 16G PC4-25600 CL16 DARK Gray (8Gx2),16,199490,DDR4/PC용/2ea/포함/Dimm/16GB/3,200MHz/1.35V/XMP/메모리 타이밍 : 16-18-18-38
TeamGroup DDR4 16G PC4-19200 CL16 Delta White,16,148000,DDR4/PC용/1ea/포함/Dimm/16GB/2,400MHz/1.20V/LED 라이트/메모리 타이밍 : 16-16-16-39
G.SKILL DDR4 16G PC4-21300 CL18 TRIDENT Z RGB (8Gx2),16,195500,DDR4/PC용/2ea/포함/Dimm/16GB/2,666MHz/1.20V/LED 라이트/AURA SYNC/MYSTIC LIGHT/RGB FUSION/제조사 소프트웨어/메모리 타이밍 : 18-18-18-43
G.SKILL DDR4 16G PC4-25600 CL16 TRIDENT Z RGB (8Gx2),16,235900,DDR4/PC용/2ea/포함/Dimm/16GB/3,200MHz/1.35V/XMP/LED 라이트/AURA SYNC/MYSTIC LIGHT/RGB FUSION/제조사 소프트웨어/메모리 타이밍 : 16-18-18-38
G.SKILL DDR4 16G PC4-24000 CL16 AEGIS,16,164200,DDR4/PC용/1ea/포함/Dimm/16GB/3,000MHz/1.35V/XMP/메모리 타이밍 : 16-18-18-38
G.SKILL DDR4 16G PC4-19200 CL15 TRIDENT Z RGB (8Gx2),16,191500,DDR4/PC용/2ea/포함/Dimm/16GB/2,400MHz/1.20V/LED 라이트/AURA SYNC/MYSTIC LIGHT/RGB FUSION/제조사 소프트웨어/메모리 타이밍 : 15-15-15-35
G.SKILL DDR4 32G PC4-25600 CL14 TRIDENT Z RGB (16Gx2),32,654200,DDR4/PC용/2ea/포함/Dimm/32GB/3,200MHz/1.35V/XMP/LED 라이트/AURA SYNC/MYSTIC LIGHT/RGB FUSION/제조사 소프트웨어/메모리 타이밍 : 14-14-14-34
G.SKILL DDR4 16G PC4-25600 CL14 TRIDENT Z RGB (8Gx2),16,365900,DDR4/PC용/2ea/포함/Dimm/16GB/3,200MHz/1.35V/XMP/LED 라이트/AURA SYNC/MYSTIC LIGHT/RGB FUSION/제조사 소프트웨어/메모리 타이밍 : 14-14-14-34
G.SKILL DDR4 16G PC4-24000 CL16 TRIDENT Z RGB (8Gx2),16,209500,DDR4/PC용/2ea/포함/Dimm/16GB/3,000MHz/1.35V/XMP/LED 라이트/AURA SYNC/MYSTIC LIGHT/RGB FUSION/제조사 소프트웨어/메모리 타이밍 : 16-18-18-38
G.SKILL DDR4 8G PC4-24000 CL16 AEGIS,8,84000,DDR4/PC용/1ea/포함/Dimm/8GB/3,000MHz/1.35V/XMP/메모리 타이밍 : 16-18-18-38
G.SKILL DDR4 4G PC4-19200 CL15 NT,4,39000,DDR4/PC용/1ea/미포함/Dimm/4GB/2,400MHz/1.20V/메모리 타이밍 : 15-15-15-35
G.SKILL DDR4 16G PC4-25600 CL16 RIPJAWS V VKB (8Gx2),16,205000,DDR4/PC용/2ea/포함/Dimm/16GB/3,200MHz/1.35V/XMP/메모리 타이밍 : 16-18-18-38
G.SKILL DDR4 16G PC4-19200 CL15 RIPJAWS V VR,16,165900,DDR4/PC용/1ea/포함/Dimm/16GB/2,400MHz/1.20V/메모리 타이밍 : 15-15-15-35
G.SKILL DDR4 32G PC4-25600 CL16 TRIDENT Z RGB (8Gx4),32,480600,DDR4/PC용/4ea/포함/Dimm/32GB/3,200MHz/1.35V/XMP/LED 라이트/AURA SYNC/MYSTIC LIGHT/RGB FUSION/제조사 소프트웨어/메모리 타이밍 : 16-18-18-38
G.SKILL DDR4 8G PC4-19200 CL15 RIPJAWS V VR,8,86200,DDR4/PC용/1ea/포함/Dimm/8GB/2,400MHz/1.20V/메모리 타이밍 : 15-15-15-35
G.SKILL DDR4 32G PC4-24000 CL16 TRIDENT Z RGB (8Gx4),32,423300,DDR4/PC용/4ea/포함/Dimm/32GB/3,000MHz/1.35V/XMP/LED 라이트/AURA SYNC/MYSTIC LIGHT/RGB FUSION/제조사 소프트웨어/메모리 타이밍 : 16-18-18-38
G.SKILL DDR4 32G PC4-25600 CL14 TRIDENT Z (16Gx2),32,638300,DDR4/PC용/2ea/포함/Dimm/32GB/3,200MHz/1.35V/XMP/메모리 타이밍 : 14-14-14-34
G.SKILL DDR4 8G PC4-24000 CL15 TRIDENT Z (4Gx2),8,138400,DDR4/PC용/2ea/포함/Dimm/8GB/3,000MHz/1.35V/XMP/메모리 타이밍 : 15-16-16-35
G.SKILL DDR4 16G PC4-25600 CL16 TRIDENT ZSK (8Gx2),16,218000,DDR4/PC용/2ea/포함/Dimm/16GB/3,200MHz/1.35V/XMP/메모리 타이밍 : 16-18-18-38
G.SKILL DDR4 32G PC4-30900 CL18 TRIDENT Z RGB (16Gx2),32,782500,DDR4/PC용/2ea/포함/Dimm/32GB/3,866MHz/1.35V/XMP/LED 라이트/AURA SYNC/MYSTIC LIGHT/RGB FUSION/제조사 소프트웨어/메모리 타이밍 : 18-18-18-38
